,AAPL,AMD,CSCO,NVDA,ADBE,AMZN,EBAY,INTC
0,1.647302140018068,18.5558055594477,1.3728312021768605,6.81727253963972,2.0531988345533296,2.41984288882748,2.479651618142261,1.5573047784653586
1,1.6415886997430882,18.601753986214753,1.3728375364486862,6.820169621297659,2.050787587534216,2.4248504055448006,2.4771982675570694,1.5553797192711776
0,1.6369540862549454,18.434218336529298,1.3731314135416823,6.8274095445233804,2.0566904809092397,2.4204008542701914,2.4641861971002426,1.5617381314008103
1,1.6311056958051209,18.43687462735296,1.3688348775248615,6.822694168328557,2.0478123352930164,2.4275002220008957,2.4727577991690697,1.556854262669864
0,1.631717904447958,18.246156100676444,1.3671168214129088,6.754234654451637,2.04283234246793,2.4269176165805404,2.453234365884027,1.5534904844965405
1,1.6194648213492306,18.289306199213897,1.3528253206697745,6.755973722658446,2.0444193285070065,2.4321064170373097,2.4571034490307695,1.5492255653832299
0,1.596170845720787,18.054664052426794,1.3634283145691768,6.709897328936605,2.0342259094944306,2.3866743217597213,2.453214224144141,1.5283285063754732
1,1.5846508593228168,18.0972322280425,1.3443756177799409,6.697502791306226,2.039304773466281,2.4006711637058853,2.447021963297285,1.5223259684951596
0,1.598129328983314,17.916374247911925,1.3542236237907357,6.703088124904094,2.0322153688034184,2.3827060834239613,2.4575393190217483,1.5270619135403292
1,1.5870268154460532,17.96767940354218,1.329171506800651,6.692794469710595,2.0250784306701233,2.404865208507824,2.450129299556814,1.5222794318794866
0,1.4044827684113896,17.07997876690295,1.22261606064133,6.557444066257247,1.9764570917521844,1.973870433223267,2.081199680368404,1.3188732097905482
1,1.3818312069965495,17.09751292236768,1.2037978184624631,6.538971736734041,1.9233490633528716,1.9435478906948573,2.0347050746642315,1.2843311690666486
